DIRECCION,REFERENCIA GENERAL,OBJETIVO GENERAL,No TRAMITE,DESCRIPCION GENERAL,TECNICO ENCARGADO,FECHA INICIAL,FECHA LIMITE,ESTADO,OBSERVACION,ENTIDAD ACTUAL,
DESARROLLO SOCIAL E INCLUSION,"PETICIÓN DE ATENCIÓN A PERSONAS ADULTAS MAYORES, ASÍ COMO USO DE UNA BUSETA INSTITUCIONAL","Atender al grupo de Adultos Mayores Independientes en los diferentes programas y actividades que desarrolla el GAD  Municipal del Cantón Riobamba en beneficio de las personas adultas mayores, asi como uso de una buseta institucional",1225826,ATENCION CIUDADANA,MARCO MIÑACA,8/11/26,,EN CURSO,Se realiza el seguimiento al proceso 1225826 a fin de que se de atencion al pedido del grupo de Adultos Mayores Independientes,DESARROLLO SOCIAL,
TALENTO HUMANO,REVISIÓN DE CONTRATOS,"Revisar y verificar, en coordinación con la Unidad de Talento Humano, los contratos del personal, a fin de garantizar su correcta aplicación y cumplimiento de la normativa legal y administrativa vigente.",,CUMPLIMIENTO NORMATIVO,Sandra Guevara,7/30/26,,EN CURSO,En conjunto con TTHH se realiza la revision de contratos,TALENTO HUMANO,
DESARROLLO SOCIAL E INCLUSION,DISPOSICIÓN PARA LA GESTIÓN Y SUSCRIPCIÓN DE CONVENIO DE COOPERACIÓN CON CORPORACIÓN LAB XX1 PARA LA CONTINUIDAD DE LOS PROYECTOS “ALZA TU VOZ” Y “CIUDAD SALUDABLE PARA ADOLESCENTES”,"Gestionar y suscribir un Convenio de Cooperación con la Corporación LAB XX1, con el propósito de garantizar la continuidad, fortalecimiento y sostenibilidad de los proyectos “Alza tu Voz” y “Ciudad Saludable para Adolescentes”, mediante la articulación de acciones, recursos y capacidades institucionales que permitan desarrollar actividades orientadas a la participación, promoción de derechos, bienestar y desarrollo integral de adolescentes.",1233126 / ACTA,CONVENIO,MARCO MIÑACA,20/8/2026,,EN CURSO,"20AGOST. Se remite  1236272, reunión con direcciones involucradas y cooperante, a fin de suscribir un nuevo convenio.  8 SEPT. Reunion representantes entidad cooperante",DESARROLLO SOCIAL,
SISTEMAS,IMPLEMENTACIÓN DEL DOCUMENTO MAESTRO DIGITAL Y GEORREFERENCIADO DE PROYECTOS Y PROGRAMAS,"Fortalecer la planificación, el seguimiento y la toma de decisiones institucionales, del proceso de transformación y digitalización de la gestión municipal, se dispone la conformación de una Mesa Técnica para el diseño e implementación del Documento Maestro Digital y Georreferenciado de Proyectos y Programas",1233320,CUMPLIMIENTO NORMATIVO,Ing. DYLAN ARAMILLO SORIA  Arq. CHRISTIAN  TELLO NAVARRETE  Arq. JORGE VASQUEZ BASTIDAS,8/24/26,9/30/26,EN CURSO,24AGOST. MEMORANDO Nro. GADMR-ALC-2026-0512-M esa Técnica para la implementación del Documento Maestro Digital y Georreferenciado de Proyectos y Programas,SISTEMAS,
GESTIÓN AMBIENTAL,PUESTA EN CONOCIMIENTO DE PRESUNTO CASO DE MALTRATO Y DESNUTRICIÓN ANIMAL (SECTOR LA POLITECNICA),"Realizar las acciones de inspección y verificación correspondientes, a fin de determinar las condiciones en las que se encuentran los animales, continuar con el proceso administrativo correspondiente y establecer las sanciones que determine la normativa vigente.",1233472,CUMPLIMIENTO NORMATIVO,ESTEFANIA CAMELOS,8/24/26,9/9/2026,FINALIZADO,"24AGOST.  MEMORANDO Nro. GADMR-ALC-2026-0519-M   31 DE AGOSTO INSPECCION TECNICA E INFORME TÉCNICO DE INSPECCIÓN  9SEPT. Análisis del expediente del trámite MEMORANDO #1233472 - (GADMR-ALC2026-0519-M) archivo de la denuncia,","AMBIENTE, COMISARIA MUNICIPAL",
PARTICIPACIÓN CIUDADANA,Articulación con FEDEBAR para la identificación de necesidades barriales.,Recoger y articular las necesidades prioritarias de los barrios para su consideración en la planificación institucional.,ACTA 81,ATENCION CIUDADANA,MAURICIO HIDALGO,8/25/26,9/15/26,EN CURSO,25AGOST2026 REUNION CON VARIOS DIRIGENTES DE FEDEBAR SE ATENDIO AL TRAMITE INGRESADO.,PARTICIPACION CIUDADANA,
EMMPA,Coordinación de actividades e intervenciones municipales en la Plataforma B,"Coordinar y ejecutar de manera articulada las actividades municipales previstas en la Plataforma Ñ, fortaleciendo la atención ciudadana y la presencia institucional en territorio, mediante acciones sociales, ambientales, culturales y de mejoramiento del espacio público.",,DISPOSICIÓN DE ALCALDIA,DIEGO LAYEDRA,9/3/26,9/30/26,EN CURSO,previa diferentes reuniones de cordinacion con las diferentes reuniones municiaples la actividad se desarrollara el dia domingo 6 de septiembre en el Barrio San Jose Tapi y la Ceramica,EMMPA,
ALCALDIA,Capacitación Urban95 Academy,"Fortalecer las capacidades técnicas e institucionales de nuestro equipo en el diseño de ciudades pensadas para la primera infancia, sus familias y cuidadores.",INVITACIÒN,DISPOSICIÓN DE ALCALDIA,ESTEFANIA CAMELOS,9/3/26,9/15/26,EN CURSO,03SEPT2026 Participación de la capacitación  10SEPT2026 Participación de la capacitación segunda semana,,
DIRECCIÓN DE AVALÚOS Y CATASTRO,Coordinación de actividades e intervenciones municipales en la Plataforma Ñ,"Coordinar y ejecutar de manera articulada las actividades municipales previstas en la Plataforma Ñ, fortaleciendo la atención ciudadana y la presencia institucional en territorio, mediante acciones sociales, ambientales, culturales y de mejoramiento del espacio público.",1244203,DISPOSICIÓN DE ALCALDIA,,8/9/2026,23/9/2026,EN CURSO,9SEPT2026.  MEMORANDO GADMR-ALC-2026-0543-M,Dirección de Avalúos y Catastro,
RIOBAMBA EP,Coordinación de actividades e intervenciones municipales en la Plataforma P,"Coordinar y ejecutar de manera articulada las actividades municipales previstas en la Plataforma P, fortaleciendo la atención ciudadana y la presencia institucional en territorio, mediante acciones sociales, ambientales, culturales y de mejoramiento del espacio público.",1244059,DISPOSICIÓN DE ALCALDIA,SILVANA VASQUEZ,8/9/2026,23/9/2026,EN CURSO,9SEPT2026. MEMORANDO #1244059 - (GADMR-ALC-2026-0539-M,Riobamba EP,
DIRECCION ESTRATEGICA,Fortalecimiento de la visibilidad del programa “Tren Turístico Parroquias Mágicas”,"Generar estrategia de contenidos que permita dar mayor presencia y continuidad al programa, destacando sus recorridos, atractivos turísticos, experiencias, identidad cultural y el aporte que representa para las parroquias participantes.",Acta Nº 82 1243606,CUMPLIMIENTO NORMATIVO,Alejandro Ríos,8/9/2026,11/9/2026,EN CURSO,Se desarrollo una reunion a fin de coordinar acciones de promicion y publicidad del proyecto.  9SEPT2026 MEMORANDO Nro. GADMR-ALC-2026-0537-M,GESTION ESTRATEGICA,
ALCALDIA,Representación del GAD Riobamba,"Participar en la agenda del Congreso de Mujeres “Hilos de Ternura por el Empoderamiento de la Mujer Rural”, en representación del Municipio de Riobamba, en el espacio denominado “Rutas de protección para la prevención de la violencia hacia las mujeres”, fortaleciendo la articulación y sensibilización para la protección de los derechos de las mujeres.",Invitación World Vision Ecuador,DISPOSICIÓN DE ALCALDIA,ESTEFANIA CAMELOS,9/9/2026,10/9/2026,FINALIZADO,"10SEPT2026, intervencion en representacion del Municipio de Riobamba en el Congreso de Mujeres “Hilos de Ternura por el Empoderamiento de la Mujer Rural”,",ASESORIA,
CONTROL MUNICIPAL,Reestructuración del personal de control municipal,"Fortalecer la gestión operativa mediante la adecuada distribución y reorganización del personal de Control Municipal, conforme a las necesidades institucionales.",,Reorganización de Personal,FABIAN CODEL,,,EN CURSO,Dar respectivo seguimiento.,,
